Player,Pos,G,FG,3P,FT,TRB,AST,STL,BLK,TOV,PTS
Damion Lee\leeda03,SG,63,169,63,66,203,63,39,6,38,467
Saben Lee\leesa01,PG,37,69,14,56,87,107,36,12,36,208
Alex Len\lenal01,C,39,94,6,41,161,45,13,25,43,235
Caris LeVert\leverca01,SG,58,379,82,146,214,248,51,23,108,986
Kira Lewis Jr.\lewiski01,PG,24,59,13,10,39,49,11,1,26,141
Scottie Lewis\lewissc01,SG,2,0,0,1,0,1,1,0,0,1
Damian Lillard\lillada01,PG,29,222,92,159,120,212,17,11,83,695
Nassir Little\littlna01,SF,42,145,51,69,236,54,25,36,40,410
Isaiah Livers\liveris01,SF,19,41,27,12,57,21,13,7,15,121
Kevon Looney\looneke01,C,82,208,0,75,596,165,50,52,67,491
Brook Lopez\lopezbr01,C,13,61,19,20,53,6,8,15,12,161
Robin Lopez\lopezro01,C,36,110,2,32,126,54,2,18,44,254
Didi Louzada\louzama01,SG-SF,9,12,9,2,17,5,2,2,5,35
Kevin Love\loveke01,PF,74,327,187,166,536,160,26,18,98,1007
Kyle Lowry\lowryky01,PG,63,276,144,148,282,474,67,17,168,844
Gabriel Lundberg\lundbga01,SG,4,5,3,0,7,11,3,0,3,13
Timothé Luwawu-Cabarrot\luwawti01,SF,52,74,44,35,82,40,18,6,20,227
Trey Lyles\lylestr01,PF,75,262,67,195,379,88,29,32,73,786
Théo Maledon\maledth01,PG,51,119,44,79,131,111,31,11,65,361
Sandro Mamukelashvili\mamuksa01,PF,41,57,22,18,82,22,9,9,15,154
Terance Mann\mannte01,SF,81,334,76,128,425,209,55,21,84,872
Tre Mann\manntr01,PG,60,231,98,65,171,91,47,12,71,625
Boban Marjanovi?\marjabo01,C,23,42,1,13,39,3,0,3,15,98
Lauri Markkanen\markkla01,PF,61,313,136,138,345,81,45,30,54,900
Naji Marshall\marshna01,SF,55,109,21,74,142,62,33,8,46,313
Caleb Martin\martica02,SF,60,208,64,71,230,64,58,30,52,551
Cody Martin\martico01,SF,71,204,61,75,285,179,88,32,61,544
Kelan Martin\martike03,SF,30,70,22,9,55,21,13,9,14,171
Kenyon Martin Jr.\martike04,SF,79,279,60,78,297,101,34,40,60,696
Garrison Mathews\mathega01,SG,65,184,139,143,190,64,57,24,41,650
Dakota Mathias\mathida01,SG,6,2,2,0,2,1,1,0,0,6
Wesley Matthews\matthwe02,SG,49,87,53,22,92,36,23,8,18,249
Tyrese Maxey\maxeyty01,PG,75,483,132,213,240,321,55,32,88,1311
Skylar Mays\mayssk01,SG,28,32,8,8,25,17,7,0,10,80
Miles McBride\mcbrimi01,PG,40,32,17,8,42,41,14,1,5,89
Mac McClung\mccluma01,SG-PG,2,3,1,1,3,1,1,1,3,8
CJ McCollum\mccolcj01,SG,62,536,182,116,269,315,70,22,127,1370
T.J. McConnell\mccontj01,PG,27,100,10,19,90,131,29,10,29,229
Jaden McDaniels\mcdanja02,PF,70,255,80,57,293,79,52,54,75,647
Jalen McDaniels\mcdanja01,SF,55,123,41,53,170,58,26,22,36,340
Doug McDermott\mcderdo01,PF,51,215,108,40,115,64,13,6,43,578
